"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"225630" 0 NA NA NA NA NA
"237973" 0 NA NA NA NA NA
"278791" 0 NA NA NA NA NA
"229344" 0 NA NA NA NA NA
"240409" 0 NA NA NA NA NA
"248527" 0 NA NA NA NA NA
"198744" 0 NA NA NA NA NA
"268663" 0 NA NA NA NA NA
"284662" 0 NA NA NA NA NA
"229376" 0 NA NA NA NA NA
"228327" 0 NA NA NA NA NA
"223181" 0 NA NA NA NA NA
"229905" 0 NA NA NA NA NA
"237491" 0 NA NA NA NA NA
"285268" 0 NA NA NA NA NA
"230092" 0 NA NA NA NA NA
"177757" 0 NA NA NA NA NA
"228794" 282.362216362357 -0.0308554569032455 0.438648846211179 -0.0703420450543958 0.943921418252573 0.994934616178185
"225880" 0 NA NA NA NA NA
"288531" 0.983210934133793 1.42266203332046 3.10817122680233 0.457716750304031 0.647155952322347 NA
"230368" 0 NA NA NA NA NA
"234711" 0 NA NA NA NA NA
"283040" 0.0876810556928477 0.481742978305072 3.5338115409304 0.136323902031922 0.891565229180988 NA
"272438" 26.6959410146314 0.635849084755769 0.997504251427647 0.637439974662494 0.523838297012075 0.947073156824397
"230699" 0 NA NA NA NA NA
"241180" 0 NA NA NA NA NA
"223764" 9.60288915347558 -1.41321741405187 1.25933258492473 -1.12219554307518 0.261779307244134 0.872764406451462
"187634" 48.122564592902 -2.22438455290858 0.812992173112644 -2.73604670066164 0.00621822005539168 0.279355208646241
"188976" 1638.14733046119 -0.497489429447306 0.372612225363303 -1.33513984669249 0.181830580079369 0.834224490843714
"187961" 323.437568264182 -0.939356891055467 0.50106331038423 -1.87472694884632 0.0608302974915659 0.630740320662876
"187583" 23.3625951395895 -0.694853625730981 0.958830331164087 -0.724688824650947 0.468642952529125 0.93214050677389
"187642" 50.556949454408 1.23284605250005 1.10553493557343 1.11515793199297 0.264782749718787 0.875555394598644
"272512" 41.6681185256352 2.56688276552424 1.01002784564457 2.54139801847358 0.0110410150634559 0.372448868213332
"188290" 475.913540300416 -0.273797165360525 0.483423357613164 -0.566371403136912 0.571141330414668 0.954969204064883
"187608" 2932.24624971989 -3.84697188202761 1.02555246725514 -3.75112147340831 NA NA
"231702" 0 NA NA NA NA NA
"224969" 0 NA NA NA NA NA
"188157" 2855.80329046398 -0.521813231003781 0.66814090173949 -0.780992796048336 0.434806731730244 0.924668969852401
"242590" 0 NA NA NA NA NA
"217801" 80.7804074680698 -0.71903615029602 0.566236483144919 -1.2698513283751 0.204137593123646 0.85028272505801
"273443" 0 NA NA NA NA NA
"237330" 0.418368269261819 -0.322760003431067 3.52616299408462 -0.0915329223216621 0.927069147796968 NA
"131591" 471.51359663288 -0.281924482207446 0.512681303131321 -0.549902016097576 0.582386581341975 0.956395443188272
"285812" 0 NA NA NA NA NA
"223823" 1.32003563112245 -0.295709858333328 2.88252275624958 -0.102587172188737 0.918290624230379 NA
"207730" 0 NA NA NA NA NA
"207607" 0 NA NA NA NA NA
"198976" 0 NA NA NA NA NA
"272141" 0.243006157876124 -1.63150899175042 3.53172755676863 -0.461957771522777 0.644111603591309 NA
"205231" 0 NA NA NA NA NA
"162571" 1.61614949751644 1.66967775097412 2.82176249599143 0.591714488142091 0.554041793118379 NA
