"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"217801" 80.7804074680698 -0.590157057397671 0.581737342330077 -1.01447339624764 0.310356917579349 0.827642195325604
"273443" 0 NA NA NA NA NA
"237330" 0.418368269261819 -2.12098044604117 3.46717186513297 -0.611732134587976 0.540714997300174 NA
"131591" 471.51359663288 -0.281183113141386 0.517279228534833 -0.543580908782714 0.586729900191133 0.942383089465328
"285812" 0 NA NA NA NA NA
"223823" 1.32003563112245 -3.77131538337124 2.57404064834777 -1.46513435434362 0.142884265373259 NA
"207730" 0 NA NA NA NA NA
"207607" 0 NA NA NA NA NA
"198976" 0 NA NA NA NA NA
"272141" 0.243006157876124 -1.37607058751137 3.51456990025159 -0.391533139634771 0.695403197901245 NA
"205231" 0 NA NA NA NA NA
"162571" 1.61614949751644 -1.67493066502316 2.68279024480486 -0.624324122344864 0.532414745100805 NA
"186891" 29.0722412812484 -3.29184606469053 1.39036600141894 -2.36761116233498 NA NA
"186827" 55.6499483867227 -1.37024616975447 1.88030832624401 -0.728734830681512 NA NA
"78808" 2399.640313315 0.135793281613986 0.445764121438852 0.304630352877365 0.760647699862465 0.971908418609184
"176022" 499.489803232422 0.360689166276566 0.461916048590221 0.780854372515087 0.43488815050475 0.897892304462993
"184163" 57.8984678127589 -0.0469515727809455 0.693036168150212 -0.0677476514772156 0.945986516025721 0.994344227746315
"260179" 5.57722342898367 -0.991177677454526 0.993735360065032 -0.997426193417996 0.318557682478286 0.831464867369307
"160087" 873.160120285302 -0.199180554306341 0.439207600920132 -0.453499788913174 0.650188895311478 0.953777912729845
"230415" 40.7589566446818 0.0488785038662388 0.742854507649954 0.0657982193860109 0.947538473890084 0.994344227746315
"162572" 203.749968577875 -0.021931983672016 0.667589002937354 -0.0328525238964641 0.973792192781113 0.997945942757837
"131584" 1393.99819528577 0.546569834889355 0.578329978591274 0.945083006453716 0.344616500317202 0.851006201038399
"278073" 0 NA NA NA NA NA
"169972" 122.312451499124 -0.466620705251614 0.496584926261419 -0.939659422940214 0.347392285119483 0.852117094098698
"127054" 2458.87437874354 0.171619713474968 0.448055710352335 0.383032086210915 0.7016959736239 0.963855215439956
"283712" 0 NA NA NA NA NA
"240731" 0 NA NA NA NA NA
